,Date,AQI
0,2018-01-01,75.0
1,2018-01-02,76.0
2,2018-01-03,79.0
3,2018-01-04,84.0
4,2018-01-05,97.0
5,2018-01-06,84.0
6,2018-01-07,63.0
7,2018-01-08,65.0
8,2018-01-09,78.0
9,2018-01-10,104.0
10,2018-01-11,106.0
11,2018-01-12,97.0
12,2018-01-13,94.0
13,2018-01-14,94.0
14,2018-01-15,82.0
15,2018-01-16,94.0
16,2018-01-17,65.0
17,2018-01-18,53.0
18,2018-01-19,61.0
19,2018-01-20,71.0
20,2018-01-21,68.0
21,2018-01-22,72.0
22,2018-01-23,62.0
23,2018-01-24,69.0
24,2018-01-25,65.0
25,2018-01-26,72.0
26,2018-01-27,69.0
27,2018-01-28,69.0
28,2018-01-29,85.0
29,2018-01-30,103.0
30,2018-01-31,
31,2018-02-01,73.0
32,2018-02-02,70.0
33,2018-02-03,89.0
34,2018-02-04,93.0
35,2018-02-05,87.0
36,2018-02-06,75.0
37,2018-02-07,75.0
38,2018-02-08,53.0
39,2018-02-09,70.0
40,2018-02-10,89.0
41,2018-02-11,128.0
42,2018-02-12,70.0
43,2018-02-13,84.0
44,2018-02-14,
45,2018-02-15,115.0
46,2018-02-16,134.0
47,2018-02-17,114.0
48,2018-02-18,116.0
49,2018-02-19,111.0
50,2018-02-20,123.0
51,2018-02-21,137.0
52,2018-02-22,139.0
53,2018-02-23,132.0
54,2018-02-24,116.0
55,2018-02-25,168.0
56,2018-02-26,435.0
57,2018-02-27,121.0
58,2018-02-28,143.0
59,2018-03-01,114.0
60,2018-03-02,127.0
61,2018-03-03,132.0
62,2018-03-04,126.0
63,2018-03-05,117.0
64,2018-03-06,149.0
65,2018-03-07,153.0
66,2018-03-08,113.0
67,2018-03-09,108.0
68,2018-03-10,136.0
69,2018-03-11,126.0
70,2018-03-12,120.0
71,2018-03-13,131.0
72,2018-03-14,124.0
73,2018-03-15,130.0
74,2018-03-16,94.0
75,2018-03-17,118.0
76,2018-03-18,113.0
77,2018-03-19,89.0
78,2018-03-20,82.0
79,2018-03-21,81.0
80,2018-03-22,91.0
81,2018-03-23,95.0
82,2018-03-24,117.0
83,2018-03-25,98.0
84,2018-03-26,149.0
85,2018-03-27,124.0
86,2018-03-28,98.0
87,2018-03-29,93.0
88,2018-03-30,81.0
89,2018-03-31,86.0
90,2018-04-01,93.0
91,2018-04-02,105.0
92,2018-04-03,102.0
93,2018-04-04,113.0
94,2018-04-05,130.0
95,2018-04-06,123.0
96,2018-04-07,137.0
97,2018-04-08,124.0
98,2018-04-09,100.0
99,2018-04-10,110.0
100,2018-04-11,109.0
101,2018-04-12,103.0
102,2018-04-13,113.0
103,2018-04-14,96.0
104,2018-04-15,98.0
105,2018-04-16,91.0
106,2018-04-17,111.0
107,2018-04-18,106.0
108,2018-04-19,110.0
109,2018-04-20,95.0
110,2018-04-21,78.0
111,2018-04-22,102.0
112,2018-04-23,94.0
113,2018-04-24,103.0
114,2018-04-25,94.0
115,2018-04-26,86.0
116,2018-04-27,78.0
117,2018-04-28,81.0
118,2018-04-29,81.0
119,2018-04-30,77.0
120,2018-05-01,99.0
121,2018-05-02,97.0
122,2018-05-03,80.0
123,2018-05-04,93.0
124,2018-05-05,88.0
125,2018-05-06,102.0
126,2018-05-07,76.0
127,2018-05-08,87.0
128,2018-05-09,98.0
129,2018-05-10,111.0
130,2018-05-11,92.0
131,2018-05-12,
132,2018-05-13,
133,2018-05-14,
134,2018-05-15,
135,2018-05-16,
136,2018-05-17,
137,2018-05-18,
138,2018-05-19,106.0
139,2018-05-20,121.0
140,2018-05-21,
141,2018-05-22,112.0
142,2018-05-23,101.0
143,2018-05-24,122.0
144,2018-05-25,108.0
145,2018-05-26,83.0
146,2018-05-27,99.0
147,2018-05-28,83.0
148,2018-05-29,79.0
149,2018-05-30,69.0
150,2018-05-31,83.0
151,2018-06-01,94.0
152,2018-06-02,77.0
153,2018-06-03,49.0
154,2018-06-04,53.0
155,2018-06-05,67.0
156,2018-06-06,71.0
157,2018-06-07,57.0
158,2018-06-08,58.0
159,2018-06-09,52.0
160,2018-06-10,51.0
161,2018-06-11,69.0
162,2018-06-12,86.0
163,2018-06-13,95.0
164,2018-06-14,90.0
165,2018-06-15,73.0
166,2018-06-16,64.0
167,2018-06-17,58.0
168,2018-06-18,56.0
169,2018-06-19,59.0
170,2018-06-20,70.0
171,2018-06-21,90.0
172,2018-06-22,54.0
173,2018-06-23,52.0
174,2018-06-24,50.0
175,2018-06-25,52.0
176,2018-06-26,52.0
177,2018-06-27,52.0
178,2018-06-28,58.0
179,2018-06-29,53.0
180,2018-06-30,52.0
181,2018-07-01,49.0
182,2018-07-02,52.0
183,2018-07-03,54.0
184,2018-07-04,52.0
185,2018-07-05,
186,2018-07-06,55.0
187,2018-07-07,53.0
188,2018-07-08,50.0
189,2018-07-09,57.0
190,2018-07-10,57.0
191,2018-07-11,54.0
192,2018-07-12,56.0
193,2018-07-13,57.0
194,2018-07-14,55.0
195,2018-07-15,54.0
196,2018-07-16,58.0
197,2018-07-17,60.0
198,2018-07-18,56.0
199,2018-07-19,57.0
200,2018-07-20,56.0
201,2018-07-21,54.0
202,2018-07-22,53.0
203,2018-07-23,56.0
204,2018-07-24,56.0
205,2018-07-25,55.0
206,2018-07-26,61.0
207,2018-07-27,62.0
208,2018-07-28,63.0
209,2018-07-29,71.0
210,2018-07-30,63.0
211,2018-07-31,75.0
212,2018-08-01,87.0
213,2018-08-02,73.0
214,2018-08-03,51.0
215,2018-08-04,52.0
216,2018-08-05,49.0
217,2018-08-06,52.0
218,2018-08-07,53.0
219,2018-08-08,54.0
220,2018-08-09,50.0
221,2018-08-10,53.0
222,2018-08-11,50.0
223,2018-08-12,49.0
224,2018-08-13,55.0
225,2018-08-14,49.0
226,2018-08-15,49.0
227,2018-08-16,53.0
228,2018-08-17,52.0
229,2018-08-18,55.0
230,2018-08-19,50.0
231,2018-08-20,54.0
232,2018-08-21,60.0
233,2018-08-22,53.0
234,2018-08-23,57.0
235,2018-08-24,53.0
236,2018-08-25,53.0
237,2018-08-26,51.0
238,2018-08-27,56.0
239,2018-08-28,56.0
240,2018-08-29,56.0
241,2018-08-30,68.0
242,2018-08-31,54.0
243,2018-09-01,50.0
244,2018-09-02,46.0
245,2018-09-03,51.0
246,2018-09-04,51.0
247,2018-09-05,52.0
248,2018-09-06,54.0
249,2018-09-07,50.0
250,2018-09-08,49.0
251,2018-09-09,54.0
252,2018-09-10,51.0
253,2018-09-11,58.0
254,2018-09-12,63.0
255,2018-09-13,50.0
256,2018-09-14,50.0
257,2018-09-15,54.0
258,2018-09-16,52.0
259,2018-09-17,50.0
260,2018-09-18,55.0
261,2018-09-19,57.0
262,2018-09-20,87.0
263,2018-09-21,75.0
264,2018-09-22,90.0
265,2018-09-23,79.0
266,2018-09-24,76.0
267,2018-09-25,75.0
268,2018-09-26,94.0
269,2018-09-27,94.0
270,2018-09-28,84.0
271,2018-09-29,74.0
272,2018-09-30,82.0
273,2018-10-01,87.0
274,2018-10-02,87.0
275,2018-10-03,65.0
276,2018-10-04,78.0
277,2018-10-05,73.0
278,2018-10-06,105.0
279,2018-10-07,115.0
280,2018-10-08,107.0
281,2018-10-09,106.0
282,2018-10-10,121.0
283,2018-10-11,126.0
284,2018-10-12,133.0
285,2018-10-13,122.0
286,2018-10-14,107.0
287,2018-10-15,112.0
288,2018-10-16,115.0
289,2018-10-17,113.0
290,2018-10-18,83.0
291,2018-10-19,82.0
292,2018-10-20,90.0
293,2018-10-21,107.0
294,2018-10-22,104.0
295,2018-10-23,99.0
296,2018-10-24,97.0
297,2018-10-25,114.0
298,2018-10-26,99.0
299,2018-10-27,126.0
300,2018-10-28,117.0
301,2018-10-29,103.0
302,2018-10-30,116.0
303,2018-10-31,148.0
304,2018-11-01,158.0
305,2018-11-02,96.0
306,2018-11-03,118.0
307,2018-11-04,91.0
308,2018-11-05,98.0
309,2018-11-06,99.0
310,2018-11-07,104.0
311,2018-11-08,186.0
312,2018-11-09,141.0
313,2018-11-10,123.0
314,2018-11-11,126.0
315,2018-11-12,112.0
316,2018-11-13,138.0
317,2018-11-14,127.0
318,2018-11-15,130.0
319,2018-11-16,136.0
320,2018-11-17,129.0
321,2018-11-18,132.0
322,2018-11-19,121.0
323,2018-11-20,113.0
324,2018-11-21,115.0
325,2018-11-22,130.0
326,2018-11-23,209.0
327,2018-11-24,239.0
328,2018-11-25,169.0
329,2018-11-26,184.0
330,2018-11-27,209.0
331,2018-11-28,175.0
332,2018-11-29,195.0
333,2018-11-30,197.0
334,2018-12-01,200.0
335,2018-12-02,243.0
336,2018-12-03,230.0
337,2018-12-04,227.0
338,2018-12-05,203.0
339,2018-12-06,124.0
340,2018-12-07,133.0
341,2018-12-08,143.0
342,2018-12-09,90.0
343,2018-12-10,92.0
344,2018-12-11,115.0
345,2018-12-12,135.0
346,2018-12-13,98.0
347,2018-12-14,178.0
348,2018-12-15,175.0
349,2018-12-16,237.0
350,2018-12-17,214.0
351,2018-12-18,211.0
352,2018-12-19,171.0
353,2018-12-20,184.0
354,2018-12-21,178.0
355,2018-12-22,150.0
356,2018-12-23,183.0
357,2018-12-24,178.0
358,2018-12-25,152.0
359,2018-12-26,121.0
360,2018-12-27,143.0
361,2018-12-28,241.0
362,2018-12-29,
363,2018-12-30,
364,2018-12-31,
365,2019-01-01,
366,2019-01-02,206.0
367,2019-01-03,162.0
368,2019-01-04,182.0
369,2019-01-05,202.0
370,2019-01-06,201.0
371,2019-01-07,170.0
372,2019-01-08,221.0
373,2019-01-09,206.0
374,2019-01-10,244.0
